hazard,climate_scenario,model,year,return_period,key,url
river,4.5,HadGEM2-ES,2080,250,hazard_river__rcp_4.5__model_HadGEM2-ES__y_2080__rp_250,http://wri-projects.s3.amazonaws.com/AqueductFloodTool/download/v2/inunriver_rcp4p5_0000HadGEM2-ES_2080_rp00250.tif
river,4.5,HadGEM2-ES,2080,500,hazard_river__rcp_4.5__model_HadGEM2-ES__y_2080__rp_500,http://wri-projects.s3.amazonaws.com/AqueductFloodTool/download/v2/inunriver_rcp4p5_0000HadGEM2-ES_2080_rp00500.tif
river,4.5,HadGEM2-ES,2080,1000,hazard_river__rcp_4.5__model_HadGEM2-ES__y_2080__rp_1000,http://wri-projects.s3.amazonaws.com/AqueductFloodTool/download/v2/inunriver_rcp4p5_0000HadGEM2-ES_2080_rp01000.tif
river,4.5,IPSL-CM5A-LR,2030,2,hazard_river__rcp_4.5__model_IPSL-CM5A-LR__y_2030__rp_2,http://wri-projects.s3.amazonaws.com/AqueductFloodTool/download/v2/inunriver_rcp4p5_00IPSL-CM5A-LR_2030_rp00002.tif
river,4.5,IPSL-CM5A-LR,2030,5,hazard_river__rcp_4.5__model_IPSL-CM5A-LR__y_2030__rp_5,http://wri-projects.s3.amazonaws.com/AqueductFloodTool/download/v2/inunriver_rcp4p5_00IPSL-CM5A-LR_2030_rp00005.tif
river,4.5,IPSL-CM5A-LR,2030,10,hazard_river__rcp_4.5__model_IPSL-CM5A-LR__y_2030__rp_10,http://wri-projects.s3.amazonaws.com/AqueductFloodTool/download/v2/inunriver_rcp4p5_00IPSL-CM5A-LR_2030_rp00010.tif
river,4.5,IPSL-CM5A-LR,2030,25,hazard_river__rcp_4.5__model_IPSL-CM5A-LR__y_2030__rp_25,http://wri-projects.s3.amazonaws.com/AqueductFloodTool/download/v2/inunriver_rcp4p5_00IPSL-CM5A-LR_2030_rp00025.tif
river,4.5,IPSL-CM5A-LR,2030,50,hazard_river__rcp_4.5__model_IPSL-CM5A-LR__y_2030__rp_50,http://wri-projects.s3.amazonaws.com/AqueductFloodTool/download/v2/inunriver_rcp4p5_00IPSL-CM5A-LR_2030_rp00050.tif
river,4.5,IPSL-CM5A-LR,2030,100,hazard_river__rcp_4.5__model_IPSL-CM5A-LR__y_2030__rp_100,http://wri-projects.s3.amazonaws.com/AqueductFloodTool/download/v2/inunriver_rcp4p5_00IPSL-CM5A-LR_2030_rp00100.tif
river,4.5,IPSL-CM5A-LR,2030,250,hazard_river__rcp_4.5__model_IPSL-CM5A-LR__y_2030__rp_250,http://wri-projects.s3.amazonaws.com/AqueductFloodTool/download/v2/inunriver_rcp4p5_00IPSL-CM5A-LR_2030_rp00250.tif
river,4.5,IPSL-CM5A-LR,2030,500,hazard_river__rcp_4.5__model_IPSL-CM5A-LR__y_2030__rp_500,http://wri-projects.s3.amazonaws.com/AqueductFloodTool/download/v2/inunriver_rcp4p5_00IPSL-CM5A-LR_2030_rp00500.tif
river,4.5,IPSL-CM5A-LR,2030,1000,hazard_river__rcp_4.5__model_IPSL-CM5A-LR__y_2030__rp_1000,http://wri-projects.s3.amazonaws.com/AqueductFloodTool/download/v2/inunriver_rcp4p5_00IPSL-CM5A-LR_2030_rp01000.tif
river,4.5,IPSL-CM5A-LR,2050,2,hazard_river__rcp_4.5__model_IPSL-CM5A-LR__y_2050__rp_2,http://wri-projects.s3.amazonaws.com/AqueductFloodTool/download/v2/inunriver_rcp4p5_00IPSL-CM5A-LR_2050_rp00002.tif
river,4.5,IPSL-CM5A-LR,2050,5,hazard_river__rcp_4.5__model_IPSL-CM5A-LR__y_2050__rp_5,http://wri-projects.s3.amazonaws.com/AqueductFloodTool/download/v2/inunriver_rcp4p5_00IPSL-CM5A-LR_2050_rp00005.tif
river,4.5,IPSL-CM5A-LR,2050,10,hazard_river__rcp_4.5__model_IPSL-CM5A-LR__y_2050__rp_10,http://wri-projects.s3.amazonaws.com/AqueductFloodTool/download/v2/inunriver_rcp4p5_00IPSL-CM5A-LR_2050_rp00010.tif
river,4.5,IPSL-CM5A-LR,2050,25,hazard_river__rcp_4.5__model_IPSL-CM5A-LR__y_2050__rp_25,http://wri-projects.s3.amazonaws.com/AqueductFloodTool/download/v2/inunriver_rcp4p5_00IPSL-CM5A-LR_2050_rp00025.tif
river,4.5,IPSL-CM5A-LR,2050,50,hazard_river__rcp_4.5__model_IPSL-CM5A-LR__y_2050__rp_50,http://wri-projects.s3.amazonaws.com/AqueductFloodTool/download/v2/inunriver_rcp4p5_00IPSL-CM5A-LR_2050_rp00050.tif
river,4.5,IPSL-CM5A-LR,2050,100,hazard_river__rcp_4.5__model_IPSL-CM5A-LR__y_2050__rp_100,http://wri-projects.s3.amazonaws.com/AqueductFloodTool/download/v2/inunriver_rcp4p5_00IPSL-CM5A-LR_2050_rp00100.tif
river,4.5,IPSL-CM5A-LR,2050,250,hazard_river__rcp_4.5__model_IPSL-CM5A-LR__y_2050__rp_250,http://wri-projects.s3.amazonaws.com/AqueductFloodTool/download/v2/inunriver_rcp4p5_00IPSL-CM5A-LR_2050_rp00250.tif
river,4.5,IPSL-CM5A-LR,2050,500,hazard_river__rcp_4.5__model_IPSL-CM5A-LR__y_2050__rp_500,http://wri-projects.s3.amazonaws.com/AqueductFloodTool/download/v2/inunriver_rcp4p5_00IPSL-CM5A-LR_2050_rp00500.tif
river,4.5,IPSL-CM5A-LR,2050,1000,hazard_river__rcp_4.5__model_IPSL-CM5A-LR__y_2050__rp_1000,http://wri-projects.s3.amazonaws.com/AqueductFloodTool/download/v2/inunriver_rcp4p5_00IPSL-CM5A-LR_2050_rp01000.tif
river,4.5,IPSL-CM5A-LR,2080,2,hazard_river__rcp_4.5__model_IPSL-CM5A-LR__y_2080__rp_2,http://wri-projects.s3.amazonaws.com/AqueductFloodTool/download/v2/inunriver_rcp4p5_00IPSL-CM5A-LR_2080_rp00002.tif
river,4.5,IPSL-CM5A-LR,2080,5,hazard_river__rcp_4.5__model_IPSL-CM5A-LR__y_2080__rp_5,http://wri-projects.s3.amazonaws.com/AqueductFloodTool/download/v2/inunriver_rcp4p5_00IPSL-CM5A-LR_2080_rp00005.tif
